"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"03.07.2024","509,96","506,37","511,28","506,02","6,00M","0,09%"
"02.07.2024","509,50","500,76","510,50","499,45","7,74M","0,96%"
"01.07.2024","504,68","504,95","506,58","493,17","10,33M","0,09%"
"28.06.2024","504,22","517,15","521,88","503,84","15,86M","-2,95%"
"27.06.2024","519,56","514,25","522,88","513,90","10,12M","1,26%"
"26.06.2024","513,12","506,64","513,81","504,68","8,88M","0,49%"
"25.06.2024","510,60","497,05","510,71","495,50","12,11M","2,34%"
"24.06.2024","498,91","499,20","507,80","494,29","13,53M","0,83%"
"21.06.2024","494,78","503,45","503,45","492,39","23,13M","-1,38%"
"20.06.2024","501,70","502,00","503,67","496,77","11,80M","0,44%"
"18.06.2024","499,49","504,56","506,00","495,02","13,06M","-1,41%"
"17.06.2024","506,63","501,67","510,75","496,01","11,27M","0,49%"
"14.06.2024","504,16","502,65","507,15","500,75","10,24M","0,01%"
"13.06.2024","504,10","505,71","509,36","501,36","9,95M","-0,93%"
"12.06.2024","508,84","513,99","514,01","504,47","11,98M","0,27%"
"11.06.2024","507,47","500,16","507,60","498,27","9,67M","0,97%"
"10.06.2024","502,60","493,86","502,66","493,41","11,24M","1,96%"
"07.06.2024","492,96","495,91","498,91","490,17","9,38M","-0,16%"
"06.06.2024","493,76","492,98","502,82","490,89","10,67M","-0,26%"
"05.06.2024","495,06","484,45","496,65","483,91","15,69M","3,79%"
"04.06.2024","476,99","477,00","478,89","473,23","7,09M","-0,10%"
"03.06.2024","477,49","470,86","479,60","468,24","11,28M","2,28%"
"31.05.2024","466,83","465,80","469,12","454,46","16,92M","-0,05%"
"30.05.2024","467,05","471,67","471,73","464,71","10,74M","-1,54%"
"29.05.2024","474,36","474,66","479,85","473,70","9,23M","-1,16%"
"28.05.2024","479,92","476,58","480,86","474,84","10,18M","0,36%"
"24.05.2024","478,22","467,62","479,85","466,30","12,02M","2,67%"
"23.05.2024","465,78","472,88","474,36","461,54","11,75M","-0,43%"
"22.05.2024","467,78","467,87","473,72","465,65","10,08M","0,68%"
"21.05.2024","464,63","467,12","470,70","462,27","11,74M","-0,90%"
"20.05.2024","468,84","469,95","473,20","467,04","11,75M","-0,65%"
"17.05.2024","471,91","470,83","472,80","468,42","10,81M","-0,28%"
"16.05.2024","473,23","475,00","477,69","472,75","16,61M","-1,73%"
"15.05.2024","481,54","474,98","482,50","471,20","13,10M","2,05%"
"14.05.2024","471,85","463,37","472,54","460,08","10,48M","0,82%"
"13.05.2024","468,01","472,75","473,35","462,85","14,67M","-1,72%"
"10.05.2024","476,20","477,09","477,50","469,60","10,75M","0,16%"
"09.05.2024","475,42","470,00","476,08","467,63","9,44M","0,60%"
